symbol,date,first_price,last_price
AAPL,2025-11-17,270.88,287.68
AAPL,2025-11-18,287.48,289.52
AAPL,2025-11-19,288.8,295.87
AAPL,2025-11-20,296.99,319.43
AAPL,2025-11-21,319.63,334.57
AMZN,2025-11-17,125.46,141.03
AMZN,2025-11-18,140.06,133.47
AMZN,2025-11-19,131.98,94.76
AMZN,2025-11-20,95.48,94.05
AMZN,2025-11-21,93.05,77.16
GOOG,2025-11-17,139.43,105.0
GOOG,2025-11-18,104.2,113.78
GOOG,2025-11-19,114.55,139.3
GOOG,2025-11-20,139.73,162.43
GOOG,2025-11-21,163.0,153.9
MSFT,2025-11-17,183.89,215.36
MSFT,2025-11-18,214.9,242.24
MSFT,2025-11-19,241.16,253.08
MSFT,2025-11-20,253.28,284.98
MSFT,2025-11-21,286.81,245.7
TSLA,2025-11-17,268.07,286.86
TSLA,2025-11-18,286.16,266.68
TSLA,2025-11-19,266.19,272.15
TSLA,2025-11-20,271.09,265.61
TSLA,2025-11-21,266.75,292.32
