date,strategy_equity,buy_hold_equity
2023-09-18,100000.0,99896.84317355709
2023-09-19,99947.76552524666,99932.61890601968
2023-09-20,100063.28477845553,100039.55105980705
2023-09-21,100071.35952756155,99673.84946413212
2023-09-22,99860.43283323236,99600.44166777443
2023-09-25,99860.43283323236,99681.29285398392
2023-09-26,99721.22997778917,99461.71708932391
2023-09-27,99709.16434072354,99323.96047129376
2023-09-28,99991.8413158383,99704.92587662773
2023-09-29,99854.21023466754,99702.24464778673
2023-10-02,100049.34393738977,99959.17025384525
2023-10-03,100101.32881451643,100368.28947545115
2023-10-04,100352.7503952751,100549.42957065701
2023-10-05,100314.05687075024,100265.0629984148
2023-10-06,100247.79387520585,100115.54464834035
2023-10-09,100544.51612937491,100748.29053809037
2023-10-10,100544.51612937491,100938.52020797432
2023-10-11,100544.51612937491,100977.70736777897
2023-10-12,100544.51612937491,101099.20654575287
2023-10-13,100544.51612937491,100828.05313068572
2023-10-16,100544.51612937491,100577.66785757033
2023-10-17,100544.51612937491,100507.81242832568
2023-10-18,100610.94496440997,100957.04911101623
2023-10-19,100610.94496440997,101417.16134307938
2023-10-20,100610.94496440997,101253.49860296487
2023-10-23,100654.52489638275,101280.43195307656
2023-10-24,100654.52489638275,101317.0728002382
2023-10-25,100654.52489638275,101441.83342364182
2023-10-26,101103.09572884676,101830.46572942808
2023-10-27,100982.28901958159,101503.74767359314
2023-10-30,101146.00806960685,101506.28926672856
2023-10-31,101034.6428513509,101555.1034939758
2023-11-01,101034.6428513509,101380.94923068695
2023-11-02,101034.6428513509,101469.33726875937
2023-11-03,101007.13850855993,101243.12714244693
2023-11-06,101007.13850855993,101741.27728397693
2023-11-07,101007.13850855993,101636.34087941439
2023-11-08,101007.13850855993,101664.9330161198
2023-11-09,101007.13850855993,101860.31422277133
2023-11-10,101007.13850855993,101810.70390249966
2023-11-13,101007.13850855993,101946.83862661105
2023-11-14,101007.13850855993,102022.12796460434
2023-11-15,101031.63229924842,101842.53947124412
2023-11-16,101046.53681718041,101813.48649905843
2023-11-17,100876.32009315475,101324.41289876755
2023-11-20,100876.32009315475,101273.27757779032
2023-11-21,100876.32009315475,101542.35324768504
2023-11-22,100876.32009315475,101683.11247762732
2023-11-23,100795.62457848014,101667.50488474725
2023-11-24,100767.4800032855,101758.07754109967
2023-11-27,100793.1461918565,101489.8658505906
2023-11-28,100737.42749597516,101500.54260596122
2023-11-29,100699.56878468569,101241.86145764226
2023-11-30,100699.56878468569,101130.01350115679
2023-12-01,100699.56878468569,101290.59420835844
2023-12-04,100722.8143016217,101416.3440148179
2023-12-05,100722.8143016217,101298.75614827524
2023-12-06,100722.8143016217,101478.60594759372
2023-12-07,100722.8143016217,101310.38039013858
2023-12-08,100853.97123174771,101227.62183069481
2023-12-11,100820.61716990136,100868.80005286557
2023-12-12,100820.61716990136,100785.96420518411
2023-12-13,100820.61716990136,100784.33377162935
2023-12-14,100820.61716990136,100636.5864126467
2023-12-15,100820.61716990136,100645.3036106934
2023-12-18,100820.61716990136,100918.33625055503
2023-12-19,100742.83321879414,100828.01047254882
2023-12-20,100742.83321879414,100542.29716480644
2023-12-21,100704.63877434969,100252.34395022612
2023-12-22,100704.63877434969,100102.88372856629
2023-12-25,100704.63877434969,100110.18689285217
2023-12-26,100567.70897149561,100225.92331804984
2023-12-27,100579.41759405979,100153.23218816365
2023-12-28,100520.79047665969,100116.94691336933
